id,STATE,Top_Source
02,AK,Natural Gas
01,AL,Natural Gas
05,AR,Coal
04,AZ,Natural Gas
06,CA,Natural Gas
08,CO,Coal
09,CT,Natural Gas
11,DC,Solar
10,DE,Natural Gas
12,FL,Natural Gas
13,GA,Natural Gas
15,HI,Oil
19,IA,Wind
16,ID,Hydro
17,IL,Nuclear
18,IN,Coal
20,KS,Wind
21,KY,Coal
22,LA,Natural Gas
25,MA,Natural Gas
24,MD,Nuclear
23,ME,Hydro
26,MI,Coal
27,MN,Coal
29,MO,Coal
28,MS,Natural Gas
30,MT,Coal
37,NC,Nuclear
38,ND,Coal
31,NE,Coal
33,NH,Nuclear
34,NJ,Natural Gas
35,NM,Coal
32,NV,Natural Gas
36,NY,Nuclear
39,OH,Natural Gas
40,OK,Natural Gas
41,OR,Hydro
42,PA,Natural Gas
44,RI,Natural Gas
45,SC,Nuclear
46,SD,Hydro
47,TN,Nuclear
48,TX,Natural Gas
49,UT,Coal
51,VA,Natural Gas
50,VT,Hydro
53,WA,Hydro
55,WI,Coal
54,WV,Coal
56,WY,Coal